ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_buffer_index,current_ej,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
FT-001B,Forsyth,,,,,,0.22,,1,0.26,0,0.114094106,,18.14,,,,0.953297078,,,9.53
FT-001C,Forsyth,,,,,,0.16,,1,0.14,0,0.099391887,,15.50,,,,0.880308514,,,8.80
FT-001D,Forsyth,,,,,,0.14,,1,0.04,0,0.103248024,,14.30,,,,0.909218347,,,9.09
FT-001E,Forsyth,,,,,,0.13,,1,0.03,0,0.063701187,,13.54,,,,0.899218976,,,8.99
FT-030,Forsyth,,,,,,0.15,,0,0.08,0,0.078809422,,4.54,,,,0.895694628,,,8.96
FT-031,Forsyth,,,,,,0.13,,0,0.05,0,0.064612491,,3.73,,,,0.924402765,,,9.24
FT-061A,Forsyth,,,,,,0.14,,1,0.11,0,0.053507404,,14.43,,,,0.735386114,,,7.35
FT-062D,Forsyth,,,,,,0.32,,0,0.60,0,0.098725448,,13.44,,,,0.998012642,,,9.98
FT-306B,Forsyth,,,,,,0.21,,0,0.31,1,0.059552188,,22.98,,,,0.954120013,,,9.54
FT-313,Forsyth,,,,,,0.19,,1,0.27,0,0.071115596,,17.17,,,,0.785132265,,,7.85
FT-324,Forsyth,,,,,,0.14,,0,0.18,0,0.224106636,,6.87,,,,0.996382388,,,9.96
GW-020D,Gwinnett,,,,,,0.22,,1,0.25,0,0.136700018,,18.31,,,,0.984784292,,,9.85
GW-269,Gwinnett,,,,,,0.32,,1,0.42,0,0.119376223,,21.70,,,,0.902402136,,,9.02
GW-308B,Gwinnett,,,,,,0.08,,0,0.27,0,0.059428963,,4.91,,,,0.689630537,,,6.90
GW-309,Gwinnett,,,,,,0.13,,0,0.33,1,0.258921656,,23.38,,,,0.97879114,,,9.79
GW-331,Gwinnett,,,,,,0.11,,0,0.02,1,0.077278891,,18.14,,,,0.969987747,,,9.70
GW-364,Gwinnett,,,,,,0.34,,1,0.49,1,0.189463641,,38.63,,,,0.976943575,,,9.77
GW-371,Gwinnett,,,,,,0.36,,1,0.60,1,0.307037254,,41.27,,,,0.981679045,,,9.82
GW-386,Gwinnett,,,,,,0.16,,0,0.30,1,0.12476663,,22.51,,,,0.699753691,,,7.00
GW-388,Gwinnett,,,,,,0.16,,0,0.21,0,0.070608575,,5.90,,,,0.995078184,,,9.95
GW-389,Gwinnett,,,,,,0.01,,0,0.13,1,0.314533191,,19.69,,,,0.976415646,,,9.76
GW-393,Gwinnett,,,,,,0.16,,1,0.85,1,0.398628468,,40.78,,,,0.973310399,,,9.73
GW-394,Gwinnett,,,,,,0.34,,1,0.56,0,0.140173041,,23.74,,,,0.967161986,,,9.67
GW-399,Gwinnett,,,,,,0.24,,0,0.44,1,0.295866695,,27.21,,,,0.979458812,,,9.79
GW-409,Gwinnett,,,,,,0.12,,0,0.06,1,0.136306814,,19.43,,,,0.660145774,,,6.60
GW-410,Gwinnett,,,,,,0.25,,1,0.30,1,0.098764886,,34.08,,,,0.999922369,,,10.00
HE-005,Henry,,,,,,0.18,,1,0.20,1,0.025558806,,30.90,,,,0.948375306,,,9.48
HE-020A,Henry,,,,,,0.29,,1,0.39,1,0.086103874,,35.63,,,,0.985560603,,,9.86
HE-107,Henry,,,,,,0.19,,1,0.24,1,0.041069384,,31.55,,,,0.775474709,,,7.75
HE-113,Henry,,,,,,0.34,,1,0.51,1,0.059758645,,37.60,,,,0.973279359,,,9.73
HE-126B,Henry,,,,,,0.16,,0,0.13,0,0.021964225,,4.65,,,,0.865278668,,,8.65
HE-161A,Henry,,,,,,0.18,,0,0.18,1,0.102610912,,21.35,,,,0.936295947,,,9.36
HE-179,Henry,,,,,,0.23,,0,0.13,0,0.056879804,,6.45,,,,0.894607603,,,8.95
HE-202,Henry,,,,,,0.17,,0,0.19,0,0.07426466,,6.04,,,,0.996894753,,,9.97
HE-920B,Henry,,,,,,0.15,,0,0.10,1,0.027675271,,19.24,,,,0.687347785,,,6.87
NE-004,Newton,,,,,,0.24,,0,0.35,1,0.045532582,,23.66,,,,0.934836318,,,9.35
NE-021,Newton,,,,,,0.11,,0,0.01,1,0.152060095,,18.80,,,,0.946481056,,,9.46
NE-033A,Newton,,,,,,0.00,,0,0.07,1,0.019585584,,15.92,,,,0.910988376,,,9.11
NE-106,Newton,,,,,,0.12,,0,0.03,1,0.04305687,,18.09,,,,0.985809048,,,9.86
PA-036B,Paulding,,,,,,0.10,,0,0.01,0,0.012697975,,2.12,,,,0.879920201,,,8.80
PA-036C,Paulding,,,,,,0.09,,0,0.00,0,0.014206216,,1.96,,,,0.938298775,,,9.38
PA-061C1,Paulding,,,,,,0.19,,1,0.28,0,0.026526086,,16.85,,,,0.874672322,,,8.75
PA-092B1,Paulding,,,,,,0.24,,1,0.29,0,0.080153823,,18.50,,,,0.898318567,,,8.98
PA-092C,Paulding,,,,,,0.19,,1,0.24,0,0.03847377,,16.58,,,,0.747434496,,,7.47
PA-092E,Paulding,,,,,,0.25,,1,0.37,0,0.030549586,,18.92,,,,0.921918316,,,9.22
RO-206,Rockdale,,,,,,0.24,,0,0.31,1,0.055961549,,23.41,,,,0.967177568,,,9.67
RO-235C,Rockdale,,,,,,0.17,,0,0.15,1,0.053455232,,20.36,,,,0.975887779,,,9.76
RO-235D,Rockdale,,,,,,0.18,,1,0.20,1,0.047238857,,31.09,,,,0.948561609,,,9.49
RO-235E1,Rockdale,,,,,,0.26,,0,0.20,1,0.051404922,,22.80,,,,0.937879548,,,9.38
RO-242A,Rockdale,,,,,,0.12,,1,0.06,1,0.030256316,,28.20,,,,0.699660697,,,7.00
RO-243,Rockdale,,,,,,0.11,,0,0.15,1,0.064543967,,19.44,,,,0.975453032,,,9.75
RO-AR-138,Rockdale,,,,,,0.37,,1,0.48,1,0.130715217,,38.56,,,,1,,,10.00
SP-067B,Spalding,,,,,,0.13,,0,0.18,0,0,,4.50,,,,0.853650016,,,8.54
